"tenkm","cbc_code","index90","index10","diff","easting","northing"
"NO05","J.",0,0.120049505,0.120049505,305000,755000
"NO11","J.",0.1237623762,0.2277227723,0.103960396,315000,715000
"NO12","J.",0.2277227723,0.2054455446,-0.022277228,315000,725000
"NO13","J.",0.620049505,0.2153465347,-0.40470297,315000,735000
"NO14","J.",0.4034653465,0.3873762376,-0.016089109,315000,745000
"NO15","J.",0.2475247525,0.2079207921,-0.03960396,315000,755000
"NO20","J.",0.0903465347,0.1002475248,0.0099009901,325000,705000
"NO21","J.",0.4863861386,0.2301980198,-0.256188119,325000,715000
"NO22","J.",0.1064356436,0.1918316832,0.0853960396,325000,725000
"NO23","J.",0.2425742574,0.2784653465,0.0358910891,325000,735000
"NO24","J.",0.3663366337,0.1212871287,-0.245049505,325000,745000
"NO25","J.",0.0852545969,0.370049505,0.2847949081,325000,755000
"NO26","J.",0.0643564356,0,-0.064356436,325000,765000
"NO30","J.",0.1670792079,0.2165841584,0.0495049505,335000,705000
"NO31","J.",0.2042079208,0.1794554455,-0.024752475,335000,715000
"NO32","J.",0,0.1943069307,0.1943069307,335000,725000
"NO33","J.",0,0.2165841584,0.2165841584,335000,735000
"NO34","J.",0.1188118812,0,-0.118811881,335000,745000
"NO35","J.",0.099009901,0.3131188119,0.2141089109,335000,755000
"NO36","J.",0.0655940594,0.0915841584,0.025990099,335000,765000
"NO37","J.",0,0.1002475248,0.1002475248,335000,775000
"NO39","J.",0,0.1806930693,0.1806930693,335000,795000
"NO40","J.",0,0.1336633663,0.1336633663,345000,705000
"NO41","J.",0,0.1547029703,0.1547029703,345000,715000
"NO42","J.",0.3143564356,0.1695544554,-0.14480198,345000,725000
"NO43","J.",0,0.129950495,0.129950495,345000,735000
"NO44","J.",0,0.1794554455,0.1794554455,345000,745000
"NO45","J.",0.1287128713,0.1534653465,0.0247524752,345000,755000
"NO46","J.",0.4727722772,0.422029703,-0.050742574,345000,765000
"NO49","J.",0.3898514851,0.3143564356,-0.07549505,345000,795000
"NO51","J.",0,0.073019802,0.073019802,355000,715000
"NO54","J.",0.146039604,0.3168316832,0.1707920792,355000,745000
"NO55","J.",0.3601485149,0.3292079208,-0.030940594,355000,755000
"NO56","J.",0,0.2933168317,0.2933168317,355000,765000
"NO57","J.",0,0.0606435644,0.0606435644,355000,775000
"NO59","J.",0.2042079208,0.5433168317,0.3391089109,355000,795000
"NO64","J.",0.1113861386,0,-0.111386139,365000,745000
"NO65","J.",0.047029703,0,-0.047029703,365000,755000
"NO66","J.",0,0.3007425743,0.3007425743,365000,765000
"NO67","J.",0.1373762376,0.3118811881,0.1745049505,365000,775000
"NO76","J.",0,0.1435643564,0.1435643564,375000,765000
"NO79","J.",0,0.2995049505,0.2995049505,375000,795000
"NO89","J.",0,0.0878712871,0.0878712871,385000,795000
"NR76","J.",0.1014851485,0.2264851485,0.125,175000,665000
"NR77","J.",0,0.1101485149,0.1101485149,175000,675000
"NR78","J.",0,0.2413366337,0.2413366337,175000,685000
